Date,UNRATE
2017-01-01,4.7
2017-01-02,4.6967741935483875
2017-01-03,4.693548387096774
2017-01-04,4.690322580645161
2017-01-05,4.687096774193549
2017-01-06,4.683870967741935
2017-01-07,4.680645161290323
2017-01-08,4.67741935483871
2017-01-09,4.674193548387096
2017-01-10,4.670967741935484
2017-01-11,4.667741935483871
2017-01-12,4.664516129032258
2017-01-13,4.661290322580645
2017-01-14,4.658064516129032
2017-01-15,4.654838709677419
2017-01-16,4.651612903225806
2017-01-17,4.648387096774194
2017-01-18,4.645161290322581
2017-01-19,4.641935483870967
2017-01-20,4.638709677419355
2017-01-21,4.635483870967742
2017-01-22,4.632258064516129
2017-01-23,4.629032258064516
2017-01-24,4.625806451612903
2017-01-25,4.62258064516129
2017-01-26,4.619354838709677
2017-01-27,4.616129032258065
2017-01-28,4.612903225806451
2017-01-29,4.609677419354838
2017-01-30,4.606451612903226
2017-01-31,4.603225806451612
2017-02-01,4.6
2017-02-02,4.5928571428571425
2017-02-03,4.585714285714285
2017-02-04,4.578571428571428
2017-02-05,4.571428571428571
2017-02-06,4.564285714285714
2017-02-07,4.557142857142857
2017-02-08,4.55
2017-02-09,4.542857142857143
2017-02-10,4.535714285714286
2017-02-11,4.5285714285714285
2017-02-12,4.521428571428571
2017-02-13,4.514285714285714
2017-02-14,4.507142857142857
2017-02-15,4.5
2017-02-16,4.492857142857143
2017-02-17,4.485714285714286
2017-02-18,4.478571428571429
2017-02-19,4.4714285714285715
2017-02-20,4.464285714285714
2017-02-21,4.457142857142857
2017-02-22,4.45
2017-02-23,4.442857142857143
2017-02-24,4.435714285714286
2017-02-25,4.428571428571429
2017-02-26,4.421428571428572
2017-02-27,4.414285714285715
2017-02-28,4.4071428571428575
2017-03-01,4.4
2017-03-02,4.4
2017-03-03,4.4
2017-03-04,4.4
2017-03-05,4.4
2017-03-06,4.4
2017-03-07,4.4
2017-03-08,4.4
2017-03-09,4.4
2017-03-10,4.4
2017-03-11,4.4
2017-03-12,4.4
2017-03-13,4.4
2017-03-14,4.4
2017-03-15,4.4
2017-03-16,4.4
2017-03-17,4.4
2017-03-18,4.4
2017-03-19,4.4
2017-03-20,4.4
2017-03-21,4.4
2017-03-22,4.4
2017-03-23,4.4
2017-03-24,4.4
2017-03-25,4.4
2017-03-26,4.4
2017-03-27,4.4
2017-03-28,4.4
2017-03-29,4.4
2017-03-30,4.4
2017-03-31,4.4
2017-04-01,4.4
2017-04-02,4.4
2017-04-03,4.4
2017-04-04,4.4
2017-04-05,4.4
2017-04-06,4.4
2017-04-07,4.4
2017-04-08,4.4
2017-04-09,4.4
2017-04-10,4.4
2017-04-11,4.4
2017-04-12,4.4
2017-04-13,4.4
2017-04-14,4.4
2017-04-15,4.4
2017-04-16,4.4
2017-04-17,4.4
2017-04-18,4.4
2017-04-19,4.4
2017-04-20,4.4
2017-04-21,4.4
2017-04-22,4.4
2017-04-23,4.4
2017-04-24,4.4
2017-04-25,4.4
2017-04-26,4.4
2017-04-27,4.4
2017-04-28,4.4
2017-04-29,4.4
2017-04-30,4.4
